Picture,Location,lon,lat,State,Name,Type,Cost,Reservation required?,Cost/Reservation Notes,When is it under 80F?,Notes,Lisa's Review
,"Big Bend National Park, TX",,,Texas,Big Bend,"Hot springs
Park",,,,,"There are four designated campgrounds in the park, with a total of 187 sites available, so finding a homebase for your adventures is typically easy. The campgrounds use self-registration and the majority of the sites operate on a first-come, first-served basis.

https://www.nps.gov/bibe/planyourvisit/soakinthesprings.htm

WHERE TO CAMP NEARBY: THE PAINT GAP
For steller access to backcountry trails and unbeatable solitude, The Paint Gap is a favorite primitive campground within Big Bend National Park. There are several sites along the road. Beyond the third site, it is recommended that visitors have four-wheel drive. In addition to camping, check out the town of Terlingua, a former ghost town now revitalized into an artsy, cultural center.
Hot Springs closed at this time",
,,,,California,Agua Caliente County Park,Hot springs,,,,,,Humble but nice. Hot springs are pools. Short hiking trail. 
,,,,Texas,Jacob’s Well,Park,,,,,"Jacob’s Well, located just an hour southwest of Austin, is an ideal summer spot for a family swim in a natural spring. This well-known limestone swimming hole is fed by the Trinity Aquifer, located 140 feet below the surface, and eventually feeds into Cypress Creek. The deepest of which extends 4,500 feet.

WHERE TO CAMP NEARBY: WIMBERLEY RV PARK & MINI STORAGE
This family-friendly RV park is situated in the rolling hills of central Texas on five acres of land and just 4 miles southeast of the well. The historic village of Wimberley is near the campground to enjoy a meal with the family after a long day of hiking, biking or swimming. While camping at Wimberley RV Park, campers also have the option to visit a local farmers market, lavender fields, and the nearby Driftwood Vineyards.",
,,,,Texas,Palo Duro Canyon State Park,Park,,,,,"The floor of the canyon is only 800 feet deep, so take a hike down and enjoy lunch along the Red River while looking up at massive, artist’s palette-colored canyon walls. Georgia O’Keeffe painted these canyon walls, noting that Palo Duro is a “…burning, seething cauldron, filled with dramatic light and color.”

WHERE TO CAMP NEARBY: HACKBERRY CAMPGROUND
Hackberry Campground is located centrally in Palo Duro State Park, and is best suited for groups that are car camping. There are plenty of amenities at this campground, including picnic tables, water and electric hookups and fire rings at each site. At Hackberry Campground, visitors have easy access to the amphitheater, as well as the longest trail in the park, an 11-mile hiking and biking trail known as “Givens, Spicer & Lowry.”",
,,,,Texas,Garner State Park,Park,,,,,"Laurie’s favorite park

Near San Antonio",
,,,,Texas,Hamilton Pool Preserve,Park,,,,,"This picturesque grotto and preserve is located just 45 minutes from Austin, and is perfect for a family swimming adventure. This clear, natural pool and its amphitheater-esque curved walls invokes wonder.

WHERE TO CAMP NEARBY: PEDERNALES FALLS STATE PARK
Pedernales Falls State Park is 21 miles west of the Hamilton Pool Preserve, but is one of the closest campgrounds to the pool. The state park offers a myriad of camping options, many with amenities, but some primitive campsites for those looking to truly disconnect. There are 69 campsites with electricity that offer picnic tables, water hookups, fire rings, and nearby restrooms and showers.",
,,,,Texas,Caddo Lake State Park,Park,,,,,"Caddo Lake is among the best Texas adventure spots for canoeing or kayaking with family or friends. Located on the border of Louisiana, this canoe trail greets visitors with massive Cypress Trees draped in Spanish Moss along a lengthy bayou.

The park offers 46 campsites with a variety of amenities, with scenic views of the surrounding waterways. There are also five historic cabins available to rent that fit 2-8 people, depending on the site. I",
,,,,Oregon,Crater Lake National Park,Park,,,,,,
,"Glacier National Park, Montana",,,Montana,Glacier National Park,National Park,,,,,,
,,,,Texas,Blue Hole Park,Park,,,,,"Big swimming hole, Laurie recommends",
,,,,Texas,Colorado Bend State Park,Park,,,,,,
,,,,Texas,Enchanted Rock,Park,,,,,,
,,,,Texas,Pedernales Falls State Park,Park,,,,,,
,,,,Texas,Inks Lake State Park,Park,,,,,,
,,,,Texas,Guadalupe River State Park,Park,,,,,,
,,,,Texas,Brazos Bend State Park,Park,,,,,,
,,,,Texas,McKinney Falls State Park,Park,,,,,,
,,,,Texas,Caprock Canyons State Park,Park,,,,,,
,"Sunburst Sanctuary
7200 S Highway One
Lompoc, CA, 93436",,,California,Sunburst Farms https://sunburst.org/?v=f24485ae434a,Commune/State Park,,,,,"One of the last american hippie communes, now offers classes",
,Austin,,,Texas,Athiest Community Bat Tour,,,,,,,
,,,,"Cape Canaveral, Florida",Watch a space rocket launch,,,,,,,
,"4994 TX-75 South, Centerville, TX 75833",,,Texas,Fort Boggy State Park,State Park,,,"$3 day use
",,"Fort Boggy State Park is a 1,847 acres state park Camping

Close to Huntsville - only 45 minute drive and $3 day use fee",Nice small not many people there when I visited it 
,"300 State Park Rd 65, Livingston, TX 77351",,,Texas,Lake Livingston State Park,State Park,18,,"$5 day use
$14 per night campsite with water
$15-18 campsite electric
$20-28 campsite full hookup
",,"Lake Livingston State Park is located near Livingston in Polk County, Texas. It is in the southern portion of the Piney Woods region of the state, an hour north of Houston. The 635 acre park along Lake Livingston opened in 1977. ",
,,,,Texas,Scheiner City Park,City Park,,,,,"This city park is located in Junction, Texas and offers a peaceful view of the Llano River. This peaceful opportunity to boondock next to the river allows Rvers the chance to swim, kayak and soak up some summer sun next to the Llano River. The city of Junction offers break taking views and many scenic routes along the Llano River. Junction might be a smaller town, but they offer the boot scooting boogey down at the London Hall if you are wanting to experience small town U.S.A.",
,,,,Texas,Magnolia Beach,,,,,,"This beach is located in Port Lavaca, Texas and offers the opportunity to park your trailer on the shores of the bay. There is no need to worry about parking your fifth wheel on the sand because the ground is compact and sturdy due to all the oyster shells. Long runs on the beach, sandcastles and fishing are only a few of the many activities you can participate in during your stay at Magnolia Beach. This destination would be a great place to bring your family-and your dogs!",
,,,,Texas,Sam Rose Collins Recreational Park,State Park,,,,,"This park is located in Burkeville, Texas and offers a scenic view of the Toledo Bend. Burkeville borders Louisiana so this RV trip has a diverse list of things to offer to interested campers. From Cajun food to canoeing expeditions to the Sabine National Forest, there is plenty of fun for all ages in Texas and Louisiana. Let’s be honest, just the giant pine trees and the abundance of animals in this part of Texas is breath-taking.",
