Date,ConnType,Lat,Lon,Download Speed,Download Size,Upload Speed,Upload Size,Latency,Server,InternalIp,ExternalIp,URL
"05/11/2021, 5:40 PM",Wifi,40.47824239,-111.88591179,0.98744,1344630,0.778328,1224216,75,"Herriman, UT",192.168.0.147,172.58.63.87,https://www.speedtest.net/my-result/a/7330210420
"05/11/2021, 5:46 PM",Wifi,40.47826672,-111.88592291,1.136304,1901100,0.80232,1271408,68,"Herriman, UT",192.168.0.147,172.58.63.87,https://www.speedtest.net/my-result/a/7330220076
"05/17/2021, 9:21 AM",Wifi,32.78793908,-117.0670682,6.73164,8898870,1.545544,2426224,41,"Escondido, CA",2607:fb90:4a2c:a38c:b855:7db6:39a4:c25d,2607:fb90:4a2c:a38c:b855:7db6:39a4:c25d,https://www.speedtest.net/my-result/a/7347520162
"05/18/2021, 4:17 PM",Wifi,32.81903445,-117.05634054,13.153336,22628088,5.306432,7814440,43,"San Diego, CA",2607:fb90:4ae2:dde:b855:7db6:39a4:c25d,172.58.19.106,https://www.speedtest.net/my-result/a/7351747692
"06/01/2021, 2:30 PM",Wifi,32.76284414,-117.21783602,27.076032,43649588,5.587512,9420828,37,"San Diego, CA",192.168.0.147,172.58.19.168,https://www.speedtest.net/my-result/a/7395981145
"06/10/2021, 10:54 AM",Wifi,37.49159631,-122.23472436,176.93292,250091320,10.20292,16479688,15,"Fremont, CA",192.168.4.29,76.14.27.43,https://www.speedtest.net/my-result/a/7424443746
"06/13/2021, 11:50 AM",Lte,37.39350655,-119.6342037,28.009976,39667108,4.271432,7313046,57,"Modesto, CA",10.165.99.83,166.170.41.157,https://www.speedtest.net/my-result/a/7434094616
"06/13/2021, 1:11 PM",Wifi,37.32110078,-119.59173481,0.685584,852679,0.009272,11104,168,"Modesto, CA",2607:fb90:a683:1916:85c4:8734:44ad:ebc8,172.58.35.218,https://www.speedtest.net/my-result/a/7434275581
"06/13/2021, 1:24 PM",Wifi,37.33056787,-119.65299034,23.481328,27972872,4.696448,7530608,77,"Modesto, CA",2607:fb90:a683:1916:85c4:8734:44ad:ebc8,172.58.35.218,https://www.speedtest.net/my-result/a/7434301211
"06/13/2021, 2:47 PM",Wifi,37.34791954,-119.64217918,0.69056,995667,2.01796,3071644,72,"Stockton, CA",2607:fb90:a6ef:59f7:85c4:8734:44ad:ebc8,2607:fb90:a6ef:59f7:85c4:8734:44ad:ebc8,https://www.speedtest.net/my-result/a/7434465405
"06/13/2021, 3:53 PM",Wifi,37.47319331,-119.63387622,1.911112,2922018,1.507152,1866860,65,"Reedley, CA",192.168.0.147,172.58.35.113,https://www.speedtest.net/my-result/a/7434575794
"06/13/2021, 4:02 PM",Wifi,37.47324776,-119.63383443,0.159096,186377,1.168048,680120,279,"Reedley, CA",192.168.0.147,172.58.35.113,https://www.speedtest.net/my-result/a/-1
"06/13/2021, 4:34 PM",Wifi,37.47243141,-119.63469486,0.700152,907444,1.241368,1848816,192,"Manteca, CA",2607:fb90:a6eb:8c49:85c4:8734:44ad:ebc8,172.58.35.1,https://www.speedtest.net/my-result/a/7434637464
"06/13/2021, 4:36 PM",Wifi,37.47349072,-119.63642899,0.388072,589222,1.63636,2463700,313,"Manteca, CA",2607:fb90:a6eb:8c49:85c4:8734:44ad:ebc8,172.58.35.1,https://www.speedtest.net/my-result/a/7434640835
"06/13/2021, 4:38 PM",Wifi,37.47349072,-119.63642899,0.504656,668763,0.258984,424728,230,"Manteca, CA",2607:fb90:a6eb:8c49:85c4:8734:44ad:ebc8,172.58.35.1,https://www.speedtest.net/my-result/a/7434643721
"06/13/2021, 4:40 PM",Wifi,37.45869993,-119.64412176,1.370352,1915152,0.209288,305360,166,"Manteca, CA",2607:fb90:a6eb:8c49:85c4:8734:44ad:ebc8,172.58.35.1,https://www.speedtest.net/my-result/a/7434646029
"06/13/2021, 4:56 PM",Wifi,37.36022577,-119.64527415,1.06304,1491479,0.016944,27760,273,"Fresno, CA",2607:fb90:a68a:5ce9:85c4:8734:44ad:ebc8,2607:fb90:a68a:5ce9:85c4:8734:44ad:ebc8,https://www.speedtest.net/my-result/a/7434669508
"06/13/2021, 4:59 PM",Wifi,37.34212938,-119.64279673,2.267208,3082427,1.894024,2937008,55,"Reedley, CA",192.168.0.147,172.58.38.191,https://www.speedtest.net/my-result/a/7434673241
"06/13/2021, 5:00 PM",Wifi,37.34212938,-119.64279673,2.719568,4189052,3.457792,5334084,59,"Reedley, CA",192.168.0.147,172.58.38.191,https://www.speedtest.net/my-result/a/7434674273
"06/13/2021, 5:02 PM",Wifi,37.33157132,-119.64658284,3.341368,5210307,1.169368,1725284,66,"Reedley, CA",192.168.0.147,172.58.38.191,https://www.speedtest.net/my-result/a/7434676479
"06/13/2021, 5:06 PM",Wifi,37.33058786,-119.6532095,8.491424,11851980,3.564488,5681084,60,"Reedley, CA",192.168.0.147,172.58.38.191,https://www.speedtest.net/my-result/a/7434681860
"06/13/2021, 5:08 PM",Wifi,37.33057553,-119.65320897,5.286912,9430608,3.528792,5836776,64,"Reedley, CA",192.168.0.147,172.58.38.191,https://www.speedtest.net/my-result/a/7434685493
"06/13/2021, 5:14 PM",Wifi,37.32608848,-119.65170916,1.662768,2140668,2.693736,4434660,63,"Reedley, CA",192.168.0.147,172.58.38.191,https://www.speedtest.net/my-result/a/7434694363
"06/13/2021, 5:28 PM",Wifi,37.33113854,-119.65320937,5.912928,8376364,3.273952,5214716,69,"Turlock, CA",2607:fb90:a6e0:cb84:85c4:8734:44ad:ebc8,172.58.35.229,https://www.speedtest.net/my-result/a/7434712854
"06/15/2021, 8:42 AM",Lte,37.71502547,-119.67647337,2.812808,4015492,3.004688,5134428,49,"Walnut Creek, CA",10.74.195.177,107.77.75.84,https://www.speedtest.net/my-result/a/7439772712
"06/15/2021, 8:49 AM",Wifi,37.72053126,-119.62963931,1.646336,2298528,0.5138,810592,37,"Stockton, CA",2607:fb90:a6ef:4d7c:85c4:8734:44ad:ebc8,2607:fb90:a6ef:4d7c:85c4:8734:44ad:ebc8,https://www.speedtest.net/my-result/a/7439794990
