"","Builder","Favorite robot","Favorite tool","Hometown","Interesting fact","Job","Robot","Sponsors","Team","Type","Website","Years competing","Duck is our lucky mascot. Find Duck here","The second drum does several things for this robot","NA","6 seasons"
"1","Greg Gibson","That one droid in RotJ that squealed while getting its feet ironed.","BFH","Wasilla, AK","This one time, like 8 months ago, I saw a guy on a plane that looked a lot like Game of Thrones author George R. R. Martin. He was even wearing the same kind of hat, and reading a book. It wasn’t actually him, but it totally sort of looked like it for a second. I took a picture anyway. It came out blurry.","Hydrographic Surveyor","Yeti","Trijet Manufacturing Services LLCeTrac IncP1 Hobbies","Team Yeti, Greg Gibson, James Arluck, Joe Sena, David Oliver","Drum spinner","facebook.com/YetiBattleBot, instagram.com/yetirobot","17 years",NA,NA,NA,NA
"2","Ray Billings","Gypsy Danger","Tormach PCNC 1100","Placerville, CA","Hardcore Robotics started out as a father/son project for BattleBots in 2001!","Designer, Builder, and Driver","Tombstone","Tormach Inc.VEX RoboticsNPC RoboticsPrinted Solid","Hardcore Robotics, Ray Billings, Rick Russ, Justin Billings","Bar spinner (horizontal)","hardcorerobotics.com, facebook.com/TombstoneBot","18 years",NA,NA,NA,NA
"3","Kurt Durjan","Wall-e","Plasma Cutter","Port Saint Lucie, FL","Over 20HP of brushless motors inside!!","Execute the awesomeness.","Axe Backwards","KurTroxTreasure Coast MakerspaceHorizon HobbySpektrumRCShoot SteelKartliftPrismatic PowdersTweel","Axe Backwards, Kurt Durjan, Grant Pitcher, Abra Durjan, Garrett Durjan, Tyler Phillips, John Stephens, Tyler Monastero","Full Bodied Drum Spinner","Facebook.com/axebackwards, instagram.com/axe_backwards, YouTube.com/c/KurTrox","Rookie on BB, Rookie on FMB-China, 17 years in the sport of combat robotics.",NA,NA,NA,NA
"4","Paul Ventimiglia","Terminator T-800","Haas VF2SS, Lincoln Power Mig 256, WERA Zyklop Sockets","Mountain View, CA","Paul won $500,000 from NASA for building a robot called “Moonraker” to dig moon dirt, while still a student at WPI.","Mechanical Designer / Robotics Engineer","Bite Force","VEX RoboticsWorcester Polytechnic InstituteSOLIDWORKSMagmotor TechnologiesBig Blue Saw, Applied Welding, Mountain View, CA","APTYX Designs, Teena Liu, Jeremiah Jinno, Cory McBride, Travis Covington, Rob Masek, Tim Bogdanof","Bar spinner (vertical)","aptyxdesigns.com, facebook.com/AptyxDesigns, instagram.com/aptyxdesigns","18 years",NA,NA,NA,NA
"5","João Marcos Giacometti Cavalheiro","Atom","Vice","Itajubá, Minas Gerais, Brasil",NA,"Engineering student","Black Dragon","MaxAmpsMGMNeumotorsImbelCoracortheUnifeiTechmotionLna","Uai!rrior, João Marcos Giacometti Cavalheiro, Guilherme Estreano dos Santos, Gabriel Bertozzi, Bruno Felipe Guimarães Silveira, Felipe Daniel Duarte","Egg Beater Spinner","Facebook.com/uairrior, uairrior.com.br, instagram.com/uairrior","18 years"," facebook.com/duckbolado",NA,NA,NA
"6","Al Kindle","Maximillian","Hammer","Edison, NJ","We all hate hammers and fire","Electro-Mechanical Technician","Blacksmith","Nuclear Blast RecordsNPC RoboticsKloeckner MetalsJet Precision Metal","Half Fast Astronaut, Al Kindle, Alan Young, John Wolan, James Iocca, Kyle Singer","Hammer","facebook.com/teamhfa, twitter.com/blacksmithbot, instagram.com/blacksmithbattlebot","24 years",NA,NA,NA,NA
"7","Justin Marple","Tobor the great","End Game’s angle grinder","Somerville, MA","During high school, everybody on our team used to compete against each other in VEX robotics. During college we joined together to found Bots ‘n’ Stuff Robotics as a VEXU team and now we transitioned into a Battlebots team.","Embedded Software Engineer","Bloodsport","VEX RoboticsUniversity of UtahBig Blue SawFingertech Robotics","Bots ‘n’ Stuff Robotics, Justin Marple, Aaron Lucas, Griffin Tabor, Nik Buchholz, Rebecca Miles, Jordan Kiesel","Bar spinner (horizontal)","Facebook.com/bnsrobotics, Instagram.com/bloodsport_battlebot","Rookie",NA,NA,NA,NA
"8","Matthew Carroll / Dan Hammer","The Iron Giant","Dingleberry Hone / Flush Cutters","Atlanta, GA","Bombshell is running custom cycloidal gearboxes and brushless drive this year","Mechanical Specialist / Mechanical Engineer","Bombshell","TwilioREV RoboticsATAP, Inc","The Chaos Corps, Matthew Carroll, Dan Hammer, Jason Brown. Brittany Carroll, Randy Farmer","Modular","facebook.com/ChaosCorps, instagram.com/chaoscorps/, twitter.com/TheChaosCorps, chaoscorps.org","Over 60 years of combined combat robot experience",NA,NA,NA,NA
"9","Jim Smentowski","Iron Giant","12<U+2033> Disc sander","Bradenton, FL","Worked for George Lucas’ company doing movie special effects","Designer, builder","Breaker Box","Flatt Teknologisk Guitar ProductsMaxAmpsThe Robot MarketPlace","Team Nightmare, Jim Smentowski, Clay Steere","Lifter","Robotcombat.com, Facebook.com/nightmarebots","22 years",NA,NA,NA,NA
"10","Reason Bradley, Alexander Rose","Lore","Hammer","Sausalito, CA","Bronco has 5 lbs of air on board","Builder/Driver","Bronco","Vex RoboticsAutodeskNinja PaintballStompump","Inertia Labs, Reason, Zander, Greg, Scoutt, Tre, Mike, Chris","Launcher","inertialabs.com","23 years",NA,NA,NA,NA
