"","Season","Round","Matchup","Results","Robot"
"1","2019","Episode 3","Bite Force vs Yeti","Bite Force by JD","Yeti"
"2","2019","Episode 6","Free Shipping vs Yeti","Yeti by JD","Yeti"
"3","2019","Episode 10","Rainbow vs Yeti","Yeti by KO 56s","Yeti"
"4","2019","Episode 13","Yeti vs Tantrum","Yeti by KO 2m45s","Yeti"
"5","2019","Episode 14","Yeti vs DUCK!","Yeti by JD","Yeti"
"6","2019","Episode 15","Death Roll vs Yeti","Death Roll by KO 1m26s","Yeti"
"7","2018","Day 1 Session 2","Witch Doctor vs Yeti","Yeti by KO 1m24s","Yeti"
"8","2018","Day 3 Session 1","Icewave vs Yeti","Icewave by KO 35s","Yeti"
"9","2018","Day 5 Session 1","Yeti vs Bombshell","Yeti by JD","Yeti"
"10","2018","Day 7 Session 2","Petunia vs Yeti","Yeti by KO 1m54s","Yeti"
"11","2018","Sweet 16 2018","Yeti vs Whiplash","Whiplash by JD","Yeti"
"12","2016","Qualifiers Session 1","Lock-Jaw vs Yeti","Yeti by JD","Yeti"
"13","2016","Round of 32","Yeti vs Lucky","Yeti by KO 2m44s","Yeti"
"14","2016","Sweet 16","Mega Tento vs Yeti","Yeti by KO 44s","Yeti"
"15","2016","Quarter Finals","Chomp vs Yeti","Yeti by KO 2m24s","Yeti"
"16","2016","Semi Finals","Tombstone vs Yeti","Tombstone by JD","Yeti"
"17","2019","Episode 1","Tombstone vs Lock-Jaw","Tombstone by KO 48s","Tombstone"
"18","2019","Episode 4","Tombstone vs SawBlaze","Tombstone by KO 1m42s","Tombstone"
"19","2019","Episode 7","Tombstone vs Rotator","Rotator by KO 2m59s","Tombstone"
"20","2019","Episode 11","Tombstone vs Gruff","Tombstone by JD","Tombstone"
"21","2019","Episode 15","Tombstone vs Quantum","Tombstone by KO 32s","Tombstone"
"22","2019","Episode 16","Tombstone vs Whiplash","Tombstone by KO 1m40s","Tombstone"
"23","2019","Episode 16","Tombstone vs Bite Force","Bite Force by KO 52s","Tombstone"
"24","2018","Day 1 Session 1","Tombstone vs Minotaur","Tombstone by KO 2m22s","Tombstone"
"25","2018","Day 2 Session 2","Gigabyte vs Tombstone","Tombstone by KO 1m9s","Tombstone"
"26","2018","Day 6 Session 2","Tombstone vs Whiplash","Tombstone by KO 1m14s","Tombstone"
"27","2018","Day 7 Session 2","Tombstone vs DUCK!","Tombstone by KO 2m37s","Tombstone"
"28","2018","Sweet 16 2018","Tombstone vs Bombshell","Bombshell by KO 1m57s","Tombstone"
"29","2018","Day 10 Session 2","Tombstone vs Tantrum","Tombstone by KO 1m17s","Tombstone"
"30","2016","Qualifiers Session 2","Tombstone vs Black Ice","Tombstone by KO 1m1s","Tombstone"
"31","2016","Round of 32","Tombstone vs Escape Velocity","Tombstone by KO 45s","Tombstone"
"32","2016","Sweet 16","Tombstone vs Brutus","Tombstone by KO 59s","Tombstone"
"33","2016","Quarter Finals","Tombstone vs Beta","Tombstone by JD","Tombstone"
"34","2016","Semi Finals","Tombstone vs Yeti","Tombstone by JD","Tombstone"
"35","2016","Final","Tombstone vs Bombshell","Tombstone by KO 53s","Tombstone"
"36","2019","Episode 2","Axe Backwards vs Mammoth","Mammoth by KO 1m36s","Axe Backwards"
"37","2019","Episode 5","Texas Twister vs Axe Backwards","Texas Twister by KO 1m26s","Axe Backwards"
"38","2019","Episode 12","Marvin vs Axe Backwards","Marvin by JD","Axe Backwards"
"39","2019","Episode 8","Deep Six vs Axe Backwards","Deep Six by KO 1m1s","Axe Backwards"
"40","2018","Day 2 Session 1","War Hawk vs Axe Backwards","War Hawk by KO 1m30s","Axe Backwards"
"41","2018","Day 4 Session 2","Deviled Egg vs Axe Backwards vs Basilisk","Deviled Egg by JD","Axe Backwards"
"42","2018","Day 7 Session 2","Monsoon vs Axe Backwards","Monsoon by KO 38s","Axe Backwards"
"43","2018","Day 9 Session 2","Ultimo Destructo vs Axe Backwards","Axe Backwards by KO 2m15s","Axe Backwards"
"44","2019","Episode 3","Bite Force vs Yeti","Bite Force by JD","Bite Force"
"45","2019","Episode 6","Bronco vs Bite Force","Bite Force by KO 2m48s","Bite Force"
"46","2019","Episode 10","Bite Force vs HyperShock","Bite Force by JD","Bite Force"
"47","2019","Episode 13","Bite Force vs Monsoon","Bite Force by KO 46s","Bite Force"
"48","2019","Episode 15","Bite Force vs Upper Cut","Bite Force by KO 57s","Bite Force"
"49","2019","Episode 16","Bite Force vs Lock-Jaw","Bite Force by KO 2m56s","Bite Force"
"50","2019","Episode 16","Tombstone vs Bite Force","Bite Force by KO 52s","Bite Force"
"51","2019","Episode 16","Witch Doctor vs Bite Force","Bite Force by KO 1m56s","Bite Force"
"52","2018","Day 1 Session 1","Blacksmith vs Bite Force","Bite Force by JD","Bite Force"
"53","2018","Day 2 Session 1","HyperShock vs Bite Force","Bite Force by KO 36s","Bite Force"
"54","2018","Day 4 Session 1","Bite Force vs End Game","Bite Force by KO 1m2s","Bite Force"
"55","2018","Day 7 Session 1","Bombshell vs Bite Force","Bite Force by KO 47s","Bite Force"
"56","2018","Sweet 16 2018","Bite Force vs HUGE","Bite Force by KO 1m37s","Bite Force"
"57","2018","Quarter Finals 2018","Rotator vs Bite Force","Bite Force by KO 1m19s","Bite Force"
"58","2018","Semi Finals 2018","Whiplash vs Bite Force","Bite Force by KO 1m29s","Bite Force"
"59","2018","Final 2018","Minotaur vs Bite Force","Bite Force by KO 2m5s","Bite Force"
"60","2016","Qualifiers Session 2","Bite Force vs Mohawk","Bite Force by KO 1m36s","Bite Force"
"61","2016","Round of 32","Bite Force vs The Ringmaster","Bite Force by JD","Bite Force"
"62","2016","Sweet 16","Bite Force vs Chomp","Chomp by JD","Bite Force"
"63","2016","Sunday Exhibition","Bite Force vs Witch Doctor vs Wrecks","Bite Force by KO 2m12s","Bite Force"
"64","2019","Episode 2","Texas Twister vs Black Dragon","Texas Twister by JD","Black Dragon"
"65","2019","Episode 5","Black Dragon vs Bloodsport","Black Dragon by KO 1m6s","Black Dragon"
"66","2019","Episode 8","Black Dragon vs Captain Shrederator","Black Dragon by KO 1m18s","Black Dragon"
"67","2019","Episode 8","Black Dragon vs War Hawk","Black Dragon by KO 1m1s","Black Dragon"
"68","2019","Episode 8","Minotaur vs Black Dragon","Black Dragon by JD","Black Dragon"
"69","2019","Episode 15","Black Dragon vs Lock-Jaw","Lock-Jaw by JD","Black Dragon"
"70","2019","Not Aired","Skorpios vs Black Dragon","Black Dragon by JD","Black Dragon"
"71","2019","Episode 1","Blacksmith vs Quantum","Quantum by JD 2m16s","Blacksmith"
"72","2019","Episode 4","Kraken vs Blacksmith","Blacksmith","Blacksmith"
"73","2019","Episode 7","SawBlaze vs Blacksmith","SawBlaze by JD","Blacksmith"
"74","2019","Episode 11","Blacksmith vs Captain Shrederator","Blacksmith by KO 2m55s","Blacksmith"
"75","2019","Episode 14","Rotator vs Blacksmith","Blacksmith by JD","Blacksmith"
"76","2019","Episode 15","Witch Doctor vs Blacksmith","Witch Doctor by KO 2m24s","Blacksmith"
"77","2018","Day 1 Session 1","Blacksmith vs Bite Force","Bite Force by JD","Blacksmith"
"78","2018","Day 3 Session 1","Blacksmith vs The Four Horseman","Blacksmith by KO 2m55s","Blacksmith"
"79","2018","Day 4 Session 2","Witch Doctor vs Blacksmith","Witch Doctor by JD","Blacksmith"
