"","Stats","Career","2019","2018","2016","Robot","2015","Season","Round","Matchup","Results"
"1","Total matches","16","6","5","5","Yeti",NA,NA,NA,NA,NA
"2","Win percentage","69%","67%","60%","80%","Yeti",NA,NA,NA,NA,NA
"3","Total wins","11","4","3","4","Yeti",NA,NA,NA,NA,NA
"4","Losses","5","2","2","1","Yeti",NA,NA,NA,NA,NA
"5","Knockouts","7","2","2","3","Yeti",NA,NA,NA,NA,NA
"6","KO percentage","44%","33%","40%","60%","Yeti",NA,NA,NA,NA,NA
"7","Average knockout time","109 s","111 s","99 s","117 s","Yeti",NA,NA,NA,NA,NA
"8","Knockouts against","2","1","1","0","Yeti",NA,NA,NA,NA,NA
"9","KO against percentage","13%","17%","20%","0%","Yeti",NA,NA,NA,NA,NA
"10","Judges decision wins","4","2","1","1","Yeti",NA,NA,NA,NA,NA
"11","Total matches","24","7","6","6","Tombstone","5",NA,NA,NA,NA
"12","Win percentage","83%","71%","83%","100%","Tombstone","80%",NA,NA,NA,NA
"13","Total wins","20","5","5","6","Tombstone","4",NA,NA,NA,NA
"14","Losses","4","2","1","0","Tombstone","1",NA,NA,NA,NA
"15","Knockouts","17","4","5","4","Tombstone","4",NA,NA,NA,NA
"16","KO percentage","71%","57%","83%","67%","Tombstone","80%",NA,NA,NA,NA
"17","Average knockout time","77 s","71 s","104 s","55 s","Tombstone","78 s",NA,NA,NA,NA
"18","Knockouts against","3","2","1","0","Tombstone","0",NA,NA,NA,NA
"19","KO against percentage","13%","29%","17%","0%","Tombstone","0%",NA,NA,NA,NA
"20","Judges decision wins","3","1","0","2","Tombstone","0",NA,NA,NA,NA
"21","Total matches","8","4","4",NA,"Axe Backwards",NA,NA,NA,NA,NA
"22","Win percentage","13%","0%","25%",NA,"Axe Backwards",NA,NA,NA,NA,NA
"23","Total wins","1","0","1",NA,"Axe Backwards",NA,NA,NA,NA,NA
"24","Losses","7","4","3",NA,"Axe Backwards",NA,NA,NA,NA,NA
